item,name
1,Pesto Pasta
2,Pasta with Tomato Sauce
3,Hamburger
4,Pizza Margherita
5,Steak
6,Chicken Burger
7,Fish Filet
8,Grilled Chicken with Vegetables 
9,Escalope
10,Tuna Sandwich 
11,Ravioli
12,Quesadillas
13,Grilled Shrimps
14,Chocolate Tart
15,Lasagna
16,Biryani
17,Croissants
18,Mozzarella Sticks
19,Tacos
20,Ramen Noodles
21,Sushi
22,Tortillas
23,Brownies
24,Pepperoni Pizza
25,Mloukhiyeh
26,Falafel
27,Paella
28,Risotto
29,Ceasar Salad
30,Pasta Salad
31,Chicken Strips
32,French Fries
33,Mashed Potatoes
34,Riz 3a Djej
35,Doughnut
36,Pain Perdu
37,Cookies
38,Lazy Cake
39,Apple Pie
40,Macarons
41,Molten Chocolate Cake
42,Crêpes
43,Pancakes
44,Shawarma
45,Tiramisù
46,Shish Tawook
47,Bruschetta 
48,Spring Rolls
49,Fajitas
50,Lentil Soup
51,Fasoolia
52,Loubye
53,Omelette
54,Avocado Toast
55,Salmon Tartare
56,Guacamole
57,Garlic Bread
58,Eggplant Parmigiana
59,Roasted Cauliflower
60,Muffins
61,Custard
62,Banana Bread
63,Scrambled Eggs
